Lucasz Piszczek,D,34,55000,Borussia Dortmund,Poland
Roman Burki,GK,29,48000,Borussia Dortmund,Switzerland
Jadon Sancho,F,18,38000,Borussia Dortmund,England
Thorgan Hazard,F,26,30000,Borussia Dortmund,Belgium
Achraf Hakimi,D,21,28000,Borussia Dortmund,Morocco
Sergio Gomez,M,19,19000,Borussia Dortmund,Spain
Dan-Axel Zagadou,D,20,4000,Borussia Dortmund,France
Neymar Jr,F,27,700000,Paris Saint Germain FC,Brazil
Kylian Mbappe,F,20,360000,Paris Saint Germain FC,France
Edinson Cavani,F,32,355000,Paris Saint Germain FC,Uruguay
Thiago Silva,D,35,305000,Paris Saint Germain FC,Brazil
Marquinhos,D,25,255000,Paris Saint Germain FC,Brazil
Angel Di Maria,F,31,255000,Paris Saint Germain FC,Argentina
Pablo Sarabia,M,27,140000,Paris Saint Germain FC,Spain
Presnel Kimpembe,D,24,140000,Paris Saint Germain FC,France
Julian Draxler,M,26,137000,Paris Saint Germain FC,Germany
Marco Verrati,M,27,137000,Paris Saint Germain FC,Italy
Layvin Kurzawa,D,27,115000,Paris Saint Germain FC,France
Juan Bernat,D,26,95000,Paris Saint Germain FC,Spain
Thilo Kehrer,D,23,95000,Paris Saint Germain FC,Germany
Leandro Paredes,M,25,65000,Paris Saint Germain FC,Argentina
Thomas Meunier,D,28,60000,Paris Saint Germain FC,Belgium
Alphonse Areola,GK,26,35000,Paris Saint Germain FC,France
Gelson Martins,F,24,125000,AS Monaco FC,Portugal
Cesc Fabregas,M,32,121000,AS Monaco FC,Spain
Keita Balde,F,24,105000,AS Monaco FC,Senegal
Kamil Glik,D,31,67000,AS Monaco FC,Poland
Stevan Jovetic,F,29,65000,AS Monaco FC,Montenegro
Jemerson ,D,27,60000,AS Monaco FC,Brazil
Naldo,D,37,60000,AS Monaco FC,Brazil
Aleksandr Golovin,M,23,53000,AS Monaco FC,Russia
Benjamin Henrichs,D,22,43000,AS Monaco FC,Germany
Danijel Subasic,GK,34,40000,AS Monaco FC,Croatia
Gabriel Boschilia,M,23,40000,AS Monaco FC,Brazil
Diego Benaglio,GK,36,30000,AS Monaco FC,Switzerland
Pietro Pellegri,F,18,20000,AS Monaco FC,Italy
Willem Geubbels,F,18,16000,AS Monaco FC,France
Benoit Badiashille,D,18,1500,AS Monaco FC,France
Cristiano Ronaldo,F,34,510483,Juventus FC,Portugal
Mattie Perin,GK,25,70000,Juventus FC,Italy
Wojciech Szczesny,GK,29,130000,Juventus FC,Poland
Gianluigi Buffon,GK,41,45900,Juventus FC,Italy
Giorgio Chiellini,D,35,130000,Juventus FC,Italy
Mattia De Sciglio,D,26,55000,Juventus FC,Italy
